quadrature_rule,point_id,x,y,z,lambda_origin,weight,weight_abs,weight_sign
45,22,0.0229177878448171,0.2319010893971509,0.2319010893971509,0.5132800333608811,0.004240437424683717,0.004240437424683717,positive
45,23,0.2319010893971509,0.0229177878448171,0.2319010893971509,0.5132800333608811,0.004240437424683717,0.004240437424683717,positive
45,24,0.2319010893971509,0.2319010893971509,0.0229177878448171,0.5132800333608811,0.004240437424683717,0.004240437424683717,positive
45,25,0.5132800333608811,0.2319010893971509,0.2319010893971509,0.022917787844817017,0.004240437424683717,0.004240437424683717,positive
45,26,0.2319010893971509,0.5132800333608811,0.2319010893971509,0.022917787844817017,0.004240437424683717,0.004240437424683717,positive
45,27,0.2319010893971509,0.2319010893971509,0.5132800333608811,0.022917787844817017,0.004240437424683717,0.004240437424683717,positive
45,28,0.2319010893971509,0.0229177878448171,0.5132800333608811,0.23190108939715093,0.004240437424683717,0.004240437424683717,positive
45,29,0.0229177878448171,0.5132800333608811,0.2319010893971509,0.23190108939715082,0.004240437424683717,0.004240437424683717,positive
45,30,0.5132800333608811,0.2319010893971509,0.0229177878448171,0.23190108939715082,0.004240437424683717,0.004240437424683717,positive
45,31,0.2319010893971509,0.5132800333608811,0.0229177878448171,0.23190108939715082,0.004240437424683717,0.004240437424683717,positive
45,32,0.0229177878448171,0.2319010893971509,0.5132800333608811,0.23190108939715093,0.004240437424683717,0.004240437424683717,positive
45,33,0.5132800333608811,0.0229177878448171,0.2319010893971509,0.23190108939715082,0.004240437424683717,0.004240437424683717,positive
45,34,0.7303134278075384,0.0379700484718286,0.0379700484718286,0.1937464752488044,0.0022387397396142,0.0022387397396142,positive
45,35,0.0379700484718286,0.7303134278075384,0.0379700484718286,0.1937464752488044,0.0022387397396142,0.0022387397396142,positive
45,36,0.0379700484718286,0.0379700484718286,0.7303134278075384,0.1937464752488044,0.0022387397396142,0.0022387397396142,positive
45,37,0.1937464752488044,0.0379700484718286,0.0379700484718286,0.7303134278075384,0.0022387397396142,0.0022387397396142,positive
45,38,0.0379700484718286,0.1937464752488044,0.0379700484718286,0.7303134278075384,0.0022387397396142,0.0022387397396142,positive
45,39,0.0379700484718286,0.0379700484718286,0.1937464752488044,0.7303134278075384,0.0022387397396142,0.0022387397396142,positive
45,40,0.0379700484718286,0.7303134278075384,0.1937464752488044,0.03797004847182861,0.0022387397396142,0.0022387397396142,positive
45,41,0.7303134278075384,0.1937464752488044,0.0379700484718286,0.03797004847182861,0.0022387397396142,0.0022387397396142,positive
45,42,0.1937464752488044,0.0379700484718286,0.7303134278075384,0.03797004847182861,0.0022387397396142,0.0022387397396142,positive
45,43,0.0379700484718286,0.1937464752488044,0.7303134278075384,0.03797004847182861,0.0022387397396142,0.0022387397396142,positive
45,44,0.7303134278075384,0.0379700484718286,0.1937464752488044,0.03797004847182861,0.0022387397396142,0.0022387397396142,positive
45,45,0.1937464752488044,0.7303134278075384,0.0379700484718286,0.03797004847182861,0.0022387397396142,0.0022387397396142,positive
