case_id,case_label,level_id,level_label,level_order,engine,variant,step,newton_iterations,linear_iterations,linear_solve_time,linear_preconditioner_time,linear_orthogonalization_time,newton_relres_end,output_dir
hetero_3d,Heterogeneous 3D SSR,L2,L2,1,petsc,delta_lambda,4,4.0,30.0,4.32554049299506,1.3306791270006215,0.28181654799846,0.0008821643230506678,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L2/main_petsc_delta_lambda
hetero_3d,Heterogeneous 3D SSR,L2,L2,1,petsc,delta_lambda,5,5.0,37.0,5.118561750990921,1.690585471020313,0.4577433550002752,0.001022533026410419,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L2/main_petsc_delta_lambda
hetero_3d,Heterogeneous 3D SSR,L2,L2,1,petsc,delta_lambda,6,13.0,162.0,22.732830161010497,4.276673635002226,2.72422000298684,0.0005523964961660533,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L2/main_petsc_delta_lambda
hetero_3d,Heterogeneous 3D SSR,L2,L2,1,petsc,delta_lambda,7,10.0,107.0,14.679689360986231,3.2995801020006184,1.781481633996009,0.0008566140055689337,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L2/main_petsc_delta_lambda
hetero_3d,Heterogeneous 3D SSR,L2,L2,1,petsc,delta_lambda,8,8.0,62.0,8.535053319021245,2.7630453190067783,1.340024265984539,0.0018201005410186648,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L2/main_petsc_delta_lambda
hetero_3d,Heterogeneous 3D SSR,L2,L2,1,petsc,delta_lambda,9,5.0,32.0,4.397646427984,1.6447506719996454,0.6872126119706081,0.002788183427829653,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L2/main_petsc_delta_lambda
hetero_3d,Heterogeneous 3D SSR,L2,L2,1,petsc,delta_lambda,10,3.0,19.0,2.584931670993683,0.9927554689929821,0.3891306989971781,0.007139362207104137,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L2/main_petsc_delta_lambda
hetero_3d,Heterogeneous 3D SSR,L2,L2,1,petsc,delta_lambda,11,7.0,46.0,6.178910190035822,2.2702704230177915,1.247990681018564,0.006496603769966167,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L2/main_petsc_delta_lambda
hetero_3d,Heterogeneous 3D SSR,L2,L2,1,petsc,delta_lambda,12,3.0,12.0,1.6508760630094912,0.9807203749951441,0.4864721920021111,0.017545196106608898,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L2/main_petsc_delta_lambda
hetero_3d,Heterogeneous 3D SSR,L2,L2,1,matlab,main,1,6.0,30.0,3.661512,4.084357000000001,0.19168200000000002,1.6813991667918443e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L2/main_matlab_main
hetero_3d,Heterogeneous 3D SSR,L2,L2,1,matlab,main,2,6.0,29.0,3.492495,4.003060999999999,0.22718399999999994,4.506004002558246e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L2/main_matlab_main
hetero_3d,Heterogeneous 3D SSR,L2,L2,1,matlab,main,3,7.0,40.0,4.8042989999999985,4.805732000000003,0.382352,6.570032622496945e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L2/main_matlab_main
hetero_3d,Heterogeneous 3D SSR,L2,L2,1,matlab,main,4,9.0,53.0,6.405856,6.4171879999999994,0.7035150000000001,2.5057423948402785e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L2/main_matlab_main
hetero_3d,Heterogeneous 3D SSR,L2,L2,1,matlab,main,5,10.0,75.0,9.231891999999998,7.338258,1.015294,3.725028971013568e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L2/main_matlab_main
hetero_3d,Heterogeneous 3D SSR,L2,L2,1,matlab,main,6,14.0,141.0,17.68467,11.079873,2.368265,4.717935446866619e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L2/main_matlab_main
hetero_3d,Heterogeneous 3D SSR,L2,L2,1,matlab,main,7,19.0,192.0,24.709510000000016,15.674510000000005,3.9874739999999997,4.264147217595379e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L2/main_matlab_main
hetero_3d,Heterogeneous 3D SSR,L2,L2,1,matlab,main,8,14.0,120.0,15.573741999999996,11.469746999999998,2.547416,2.4797432702436083e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L2/main_matlab_main
hetero_3d,Heterogeneous 3D SSR,L2,L2,1,matlab,main,9,17.0,120.0,15.725363999999999,14.099287000000004,3.153962999999999,8.475756550703771e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L2/main_matlab_main
hetero_3d,Heterogeneous 3D SSR,L2,L2,1,matlab,main,10,15.0,156.0,20.265997,12.308518000000007,2.6137110000000003,9.271018236529406e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L2/main_matlab_main
hetero_3d,Heterogeneous 3D SSR,L2,L2,1,matlab,main,11,21.0,220.0,28.25944899999999,17.44996499999999,4.478805000000001,9.335298019771554e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L2/main_matlab_main
hetero_3d,Heterogeneous 3D SSR,L2,L2,1,matlab,main,12,17.0,142.0,18.227183999999994,13.885429999999985,3.580660999999999,8.813547653917553e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L2/main_matlab_main
hetero_3d,Heterogeneous 3D SSR,L2,L2,1,petsc,main,1,6.0,32.0,4.579014211005415,1.6644711200206075,0.2537521759950323,2.8691612058100176e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L2/main_petsc_main
hetero_3d,Heterogeneous 3D SSR,L2,L2,1,petsc,main,2,6.0,34.0,5.059235860026092,1.6906914410064928,0.30591843200090807,6.243537941973545e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L2/main_petsc_main
hetero_3d,Heterogeneous 3D SSR,L2,L2,1,petsc,main,3,7.0,44.0,6.3560505909408676,2.075341603005654,0.4984395040082745,5.724334724136394e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L2/main_petsc_main
hetero_3d,Heterogeneous 3D SSR,L2,L2,1,petsc,main,4,10.0,68.0,9.63828260297305,3.185782490996644,1.1077363759686705,2.748600771901524e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L2/main_petsc_main
hetero_3d,Heterogeneous 3D SSR,L2,L2,1,petsc,main,5,9.0,76.0,10.436732968999422,2.6476386879803613,1.0130908020219067,9.749079806475044e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L2/main_petsc_main
hetero_3d,Heterogeneous 3D SSR,L2,L2,1,petsc,main,6,16.0,187.0,25.208608255983563,4.905376719019841,3.356955302951974,3.092082688673871e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L2/main_petsc_main
hetero_3d,Heterogeneous 3D SSR,L2,L2,1,petsc,main,7,16.0,153.0,20.749383909933385,4.901462460009498,3.688169190994813,7.753279573310123e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L2/main_petsc_main
hetero_3d,Heterogeneous 3D SSR,L2,L2,1,petsc,main,8,15.0,151.0,20.6336885310011,4.706121876006364,3.3613112659659237,8.263652184660988e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L2/main_petsc_main
